n_S,n_C,n_L,n_K,n_D,B
20,200,3,7000,10,20000
==========
Car ID,Level,Initial station
1,1,19
2,1,6
3,1,13
4,1,9
5,1,8
6,1,11
7,1,12
8,1,9
9,1,7
10,1,4
11,1,6
12,1,11
13,1,7
14,1,9
15,1,6
16,1,1
17,1,1
18,1,12
19,1,1
20,1,18
21,1,3
22,1,3
23,1,3
24,1,3
25,1,7
26,1,19
27,1,2
28,1,18
29,1,18
30,1,12
31,1,13
32,1,8
33,1,17
34,1,1
35,1,9
36,1,12
37,1,3
38,1,15
39,1,2
40,1,14
41,1,11
42,1,2
43,1,17
44,1,15
45,1,4
46,1,18
47,1,13
48,1,2
49,1,9
50,1,19
51,1,14
52,1,5
53,1,7
54,1,11
55,1,10
56,1,2
57,1,10
58,1,20
59,1,6
60,1,14
61,1,12
62,1,9
63,1,8
64,1,19
65,1,11
66,1,1
67,2,11
68,2,14
69,2,5
70,2,14
71,2,7
72,2,18
73,2,3
74,2,9
75,2,5
76,2,12
77,2,17
78,2,16
79,2,20
80,2,19
81,2,11
82,2,5
83,2,13
84,2,16
85,2,4
86,2,19
87,2,14
88,2,3
89,2,19
90,2,15
91,2,8
92,2,7
93,2,16
94,2,3
95,2,5
96,2,12
97,2,17
98,2,13
99,2,5
100,2,8
101,2,13
102,2,7
103,2,10
104,2,6
105,2,17
106,2,13
107,2,20
108,2,5
109,2,7
110,2,10
111,2,11
112,2,18
113,2,6
114,2,11
115,2,16
116,2,16
117,2,4
118,2,17
119,2,12
120,2,15
121,2,12
122,2,14
123,2,9
124,2,11
125,2,15
126,2,2
127,2,11
128,2,16
129,2,16
130,2,8
131,2,13
132,2,19
133,2,14
134,3,16
135,3,4
136,3,4
137,3,3
138,3,8
139,3,18
140,3,2
141,3,20
142,3,19
143,3,3
144,3,9
145,3,18
146,3,16
147,3,4
148,3,19
149,3,8
150,3,17
151,3,1
152,3,10
153,3,19
154,3,2
155,3,18
156,3,11
157,3,16
158,3,13
159,3,19
160,3,16
161,3,19
162,3,2
163,3,19
164,3,15
165,3,12
166,3,6
167,3,19
168,3,10
169,3,12
170,3,14
171,3,12
172,3,8
173,3,12
174,3,19
175,3,2
176,3,16
177,3,2
178,3,2
179,3,14
180,3,7
181,3,18
182,3,19
183,3,3
184,3,14
185,3,19
186,3,10
187,3,9
188,3,14
189,3,4
190,3,20
191,3,16
192,3,7
193,3,3
194,3,13
195,3,9
196,3,4
197,3,3
198,3,14
199,3,4
200,3,11
==========
Car level,Hour rate
1,200
2,300
3,500
==========
Order ID,Level,Pick-up station,Return station,Pick-up time,Return time
1,1,1,17,2023/01/10 13:00,2023/01/10 21:00
2,1,14,8,2023/01/07 08:30,2023/01/08 02:30
3,1,9,3,2023/01/06 22:00,2023/01/07 00:00
4,2,16,11,2023/01/08 05:00,2023/01/08 09:00
5,2,7,5,2023/01/05 10:00,2023/01/06 10:00
6,1,10,12,2023/01/02 13:00,2023/01/03 01:00
7,2,18,7,2023/01/01 07:30,2023/01/01 19:30
8,2,16,5,2023/01/08 00:00,2023/01/08 06:00
9,3,11,15,2023/01/10 03:30,2023/01/10 06:30
10,2,14,1,2023/01/07 17:00,2023/01/08 05:00
11,1,11,14,2023/01/06 09:30,2023/01/07 09:30
12,2,19,20,2023/01/08 22:30,2023/01/09 06:30
13,2,18,19,2023/01/09 14:30,2023/01/10 14:30
14,1,15,15,2023/01/06 17:30,2023/01/06 20:30
15,3,3,3,2023/01/08 16:00,2023/01/08 19:00
16,2,18,20,2023/01/03 18:30,2023/01/03 21:30
17,3,18,1,2023/01/07 21:00,2023/01/08 03:00
18,1,18,4,2023/01/03 06:30,2023/01/03 09:30
19,1,15,2,2023/01/06 00:30,2023/01/06 06:30
20,3,10,2,2023/01/01 21:00,2023/01/01 23:00
21,2,6,13,2023/01/06 19:30,2023/01/07 03:30
22,1,10,7,2023/01/08 19:00,2023/01/09 13:00
23,3,3,16,2023/01/04 16:30,2023/01/05 04:30
24,2,2,17,2023/01/04 09:30,2023/01/04 12:30
25,1,18,3,2023/01/06 18:00,2023/01/07 02:00
26,1,6,9,2023/01/04 15:30,2023/01/05 03:30
27,3,19,13,2023/01/09 17:00,2023/01/09 20:00
28,3,3,20,2023/01/07 11:30,2023/01/07 13:30
29,3,6,10,2023/01/02 14:00,2023/01/02 18:00
30,2,18,2,2023/01/09 10:00,2023/01/10 04:00
31,3,7,19,2023/01/07 13:30,2023/01/07 21:30
32,1,11,9,2023/01/01 22:00,2023/01/02 10:00
33,2,2,19,2023/01/10 12:00,2023/01/11 00:00
34,2,15,6,2023/01/01 20:30,2023/01/02 20:30
35,1,5,1,2023/01/01 19:00,2023/01/01 22:00
36,3,15,12,2023/01/03 00:00,2023/01/03 02:00
37,1,11,13,2023/01/03 14:30,2023/01/03 22:30
38,2,2,11,2023/01/04 00:30,2023/01/04 08:30
39,2,4,5,2023/01/09 18:00,2023/01/09 22:00
40,2,13,20,2023/01/08 22:00,2023/01/09 00:00
41,3,7,8,2023/01/03 07:30,2023/01/03 09:30
42,2,8,19,2023/01/08 19:00,2023/01/08 22:00
43,3,9,12,2023/01/08 01:30,2023/01/08 03:30
44,1,10,13,2023/01/07 18:00,2023/01/08 02:00
45,3,1,4,2023/01/03 18:30,2023/01/04 02:30
46,3,13,13,2023/01/03 21:00,2023/01/04 05:00
47,3,19,12,2023/01/06 20:00,2023/01/07 20:00
48,3,19,15,2023/01/03 19:00,2023/01/03 21:00
49,3,15,9,2023/01/02 00:00,2023/01/02 02:00
50,3,1,4,2023/01/08 13:30,2023/01/08 15:30
51,2,3,2,2023/01/03 04:00,2023/01/03 22:00
52,3,2,17,2023/01/07 23:00,2023/01/08 23:00
53,3,17,20,2023/01/03 10:30,2023/01/03 18:30
54,2,15,13,2023/01/04 10:30,2023/01/05 10:30
55,3,3,15,2023/01/06 16:00,2023/01/06 20:00
56,3,20,6,2023/01/10 01:00,2023/01/10 19:00
57,2,5,2,2023/01/04 10:30,2023/01/04 18:30
58,2,20,11,2023/01/06 20:00,2023/01/06 23:00
59,3,14,14,2023/01/02 08:00,2023/01/03 02:00
60,2,7,8,2023/01/07 00:00,2023/01/07 02:00
61,2,1,16,2023/01/08 21:30,2023/01/09 15:30
62,1,2,13,2023/01/02 15:00,2023/01/02 23:00
63,3,19,13,2023/01/02 05:00,2023/01/02 09:00
64,1,6,10,2023/01/06 01:30,2023/01/06 07:30
65,3,15,18,2023/01/04 14:30,2023/01/04 18:30
66,2,9,9,2023/01/06 20:30,2023/01/07 20:30
67,3,5,14,2023/01/03 17:00,2023/01/03 23:00
68,2,5,2,2023/01/01 14:30,2023/01/01 20:30
