n_S,n_C,n_L,n_K,n_D,B
20,200,3,7000,10,20000
==========
Car ID,Level,Initial station
1,1,5
2,1,13
3,1,15
4,1,12
5,1,4
6,1,2
7,1,9
8,1,11
9,1,12
10,1,2
11,1,10
12,1,10
13,1,17
14,1,4
15,1,19
16,1,11
17,1,3
18,1,6
19,1,12
20,1,11
21,1,18
22,1,19
23,1,20
24,1,13
25,1,19
26,1,16
27,1,5
28,1,2
29,1,3
30,1,1
31,1,8
32,1,18
33,1,14
34,1,17
35,1,1
36,1,16
37,1,18
38,1,17
39,1,19
40,1,10
41,1,6
42,1,4
43,1,4
44,1,2
45,1,12
46,1,5
47,1,8
48,1,17
49,1,17
50,1,20
51,1,10
52,1,12
53,1,12
54,1,14
55,1,13
56,1,14
57,1,18
58,1,8
59,1,7
60,1,8
61,1,15
62,1,15
63,1,5
64,1,16
65,1,7
66,1,14
67,2,17
68,2,9
69,2,20
70,2,3
71,2,6
72,2,10
73,2,2
74,2,11
75,2,1
76,2,2
77,2,7
78,2,5
79,2,8
80,2,14
81,2,5
82,2,6
83,2,15
84,2,3
85,2,10
86,2,9
87,2,5
88,2,18
89,2,1
90,2,2
91,2,20
92,2,11
93,2,17
94,2,5
95,2,7
96,2,4
97,2,19
98,2,10
99,2,12
100,2,8
101,2,6
102,2,6
103,2,16
104,2,2
105,2,4
106,2,2
107,2,6
108,2,7
109,2,16
110,2,4
111,2,5
112,2,11
113,2,9
114,2,12
115,2,4
116,2,10
117,2,14
118,2,10
119,2,12
120,2,18
121,2,19
122,2,1
123,2,13
124,2,14
125,2,7
126,2,10
127,2,6
128,2,14
129,2,12
130,2,7
131,2,17
132,2,16
133,2,8
134,3,19
135,3,7
136,3,6
137,3,4
138,3,2
139,3,5
140,3,20
141,3,4
142,3,10
143,3,3
144,3,6
145,3,16
146,3,9
147,3,20
148,3,4
149,3,20
150,3,14
151,3,19
152,3,7
153,3,2
154,3,20
155,3,15
156,3,18
157,3,6
158,3,10
159,3,18
160,3,9
161,3,9
162,3,8
163,3,6
164,3,17
165,3,11
166,3,2
167,3,14
168,3,5
169,3,4
170,3,3
171,3,12
172,3,12
173,3,20
174,3,19
175,3,16
176,3,14
177,3,19
178,3,7
179,3,18
180,3,17
181,3,7
182,3,20
183,3,2
184,3,13
185,3,18
186,3,17
187,3,7
188,3,8
189,3,2
190,3,3
191,3,11
192,3,15
193,3,3
194,3,2
195,3,7
196,3,5
197,3,3
198,3,11
199,3,7
200,3,8
==========
Car level,Hour rate
1,200
2,300
3,500
==========
Order ID,Level,Pick-up station,Return station,Pick-up time,Return time
1,1,20,20,2023/01/09 11:00,2023/01/10 11:00
2,2,3,1,2023/01/10 10:00,2023/01/10 16:00
3,1,5,1,2023/01/06 16:00,2023/01/07 00:00
4,1,6,12,2023/01/06 16:00,2023/01/06 20:00
5,2,7,12,2023/01/06 11:30,2023/01/06 15:30
6,2,7,2,2023/01/03 01:00,2023/01/03 05:00
7,1,20,9,2023/01/09 03:00,2023/01/09 09:00
8,2,10,14,2023/01/06 15:00,2023/01/07 03:00
9,1,14,9,2023/01/08 07:30,2023/01/08 11:30
10,2,1,13,2023/01/06 12:00,2023/01/06 14:00
11,1,1,10,2023/01/05 18:30,2023/01/05 21:30
12,2,17,6,2023/01/07 00:30,2023/01/08 00:30
13,2,5,16,2023/01/01 02:00,2023/01/01 10:00
14,1,4,12,2023/01/03 12:30,2023/01/03 18:30
15,1,4,6,2023/01/09 10:00,2023/01/09 14:00
16,1,16,14,2023/01/05 00:30,2023/01/05 03:30
17,2,16,11,2023/01/01 07:30,2023/01/02 07:30
18,2,14,19,2023/01/03 18:30,2023/01/03 21:30
19,1,3,5,2023/01/06 19:30,2023/01/06 21:30
20,1,12,6,2023/01/07 23:00,2023/01/08 17:00
21,1,12,7,2023/01/06 17:00,2023/01/06 23:00
22,1,18,7,2023/01/03 21:00,2023/01/04 03:00
23,1,10,3,2023/01/01 10:30,2023/01/01 16:30
24,1,8,3,2023/01/09 01:30,2023/01/09 05:30
25,2,6,1,2023/01/09 05:00,2023/01/09 09:00
26,1,14,18,2023/01/03 15:30,2023/01/03 23:30
27,3,5,8,2023/01/04 15:00,2023/01/04 17:00
28,2,6,4,2023/01/06 09:00,2023/01/06 15:00
29,1,18,19,2023/01/06 00:00,2023/01/06 02:00
30,1,13,11,2023/01/08 07:00,2023/01/08 09:00
31,2,16,1,2023/01/06 07:30,2023/01/07 07:30
32,1,11,7,2023/01/08 08:30,2023/01/08 20:30
33,2,12,3,2023/01/08 05:00,2023/01/08 09:00
34,2,12,7,2023/01/01 22:00,2023/01/02 00:00
35,1,11,8,2023/01/07 18:30,2023/01/08 02:30
36,1,15,5,2023/01/02 19:30,2023/01/02 23:30
37,1,14,7,2023/01/08 00:00,2023/01/08 03:00
38,2,17,17,2023/01/09 15:30,2023/01/09 23:30
39,1,20,20,2023/01/08 20:00,2023/01/08 22:00
40,1,6,8,2023/01/01 00:00,2023/01/01 08:00
41,1,16,5,2023/01/08 18:30,2023/01/09 00:30
42,1,16,17,2023/01/05 03:30,2023/01/05 21:30
43,1,3,7,2023/01/06 13:00,2023/01/06 19:00
44,1,19,6,2023/01/08 12:00,2023/01/08 14:00
45,1,11,4,2023/01/05 11:30,2023/01/05 17:30
46,1,17,3,2023/01/08 07:30,2023/01/08 09:30
47,1,11,8,2023/01/01 14:00,2023/01/01 20:00
48,3,5,19,2023/01/04 06:00,2023/01/04 09:00
49,1,15,17,2023/01/02 15:00,2023/01/02 17:00
50,1,9,20,2023/01/05 07:30,2023/01/05 11:30
51,2,5,14,2023/01/03 13:00,2023/01/03 15:00
52,2,18,20,2023/01/08 03:30,2023/01/08 07:30
53,1,2,5,2023/01/09 14:30,2023/01/10 08:30
54,2,13,2,2023/01/05 11:00,2023/01/06 05:00
55,1,2,15,2023/01/07 22:30,2023/01/08 16:30
56,2,12,3,2023/01/07 06:30,2023/01/07 18:30
57,1,18,3,2023/01/10 08:30,2023/01/10 20:30
58,2,7,6,2023/01/02 01:30,2023/01/02 07:30
59,1,11,20,2023/01/03 20:30,2023/01/03 22:30
60,1,14,3,2023/01/08 04:30,2023/01/08 10:30
61,1,10,3,2023/01/09 20:30,2023/01/10 04:30
62,1,16,1,2023/01/04 15:00,2023/01/05 03:00
63,1,14,15,2023/01/07 04:00,2023/01/07 06:00
64,1,17,14,2023/01/03 23:30,2023/01/04 02:30
65,1,17,14,2023/01/03 10:00,2023/01/03 18:00
66,1,12,12,2023/01/01 07:00,2023/01/01 13:00
67,3,16,11,2023/01/06 10:00,2023/01/06 18:00
68,1,2,14,2023/01/03 15:00,2023/01/03 18:00
69,1,6,15,2023/01/01 21:00,2023/01/01 23:00
70,1,5,12,2023/01/05 20:00,2023/01/06 20:00
71,2,2,18,2023/01/06 19:30,2023/01/07 13:30
72,1,17,15,2023/01/02 07:30,2023/01/03 01:30
73,1,9,15,2023/01/02 00:30,2023/01/02 04:30
74,2,5,4,2023/01/07 19:00,2023/01/08 19:00
75,2,4,9,2023/01/02 14:00,2023/01/03 02:00
76,1,7,9,2023/01/05 16:00,2023/01/06 04:00
77,2,19,1,2023/01/03 00:30,2023/01/03 03:30
78,3,5,17,2023/01/08 08:00,2023/01/09 08:00
79,1,8,20,2023/01/04 13:00,2023/01/04 15:00
80,3,15,19,2023/01/05 21:30,2023/01/06 21:30
81,2,2,9,2023/01/06 03:00,2023/01/07 03:00
82,1,11,6,2023/01/04 17:30,2023/01/04 19:30
83,1,12,16,2023/01/05 02:00,2023/01/05 08:00
84,3,7,13,2023/01/05 02:00,2023/01/05 08:00
85,1,3,17,2023/01/01 20:30,2023/01/02 02:30
86,1,8,10,2023/01/02 12:00,2023/01/03 12:00
87,1,4,15,2023/01/02 15:00,2023/01/02 17:00
88,1,10,10,2023/01/04 13:00,2023/01/05 13:00
89,1,8,8,2023/01/06 13:00,2023/01/06 17:00
90,3,8,19,2023/01/09 08:00,2023/01/09 16:00
91,1,8,7,2023/01/03 04:30,2023/01/03 06:30
92,1,14,20,2023/01/09 03:30,2023/01/09 11:30
93,1,16,20,2023/01/03 01:00,2023/01/03 05:00
94,2,1,12,2023/01/04 06:30,2023/01/04 14:30
95,2,20,7,2023/01/08 09:30,2023/01/08 17:30
96,1,11,16,2023/01/05 16:00,2023/01/05 20:00
97,2,5,17,2023/01/04 00:00,2023/01/04 06:00
98,2,10,20,2023/01/06 13:00,2023/01/07 13:00
99,1,4,19,2023/01/04 10:30,2023/01/04 18:30
100,3,7,20,2023/01/01 22:30,2023/01/02 00:30
101,3,18,19,2023/01/02 07:00,2023/01/02 15:00
102,1,9,9,2023/01/05 07:30,2023/01/05 15:30
103,1,5,20,2023/01/10 00:30,2023/01/10 03:30
104,1,10,19,2023/01/05 07:00,2023/01/06 01:00
105,2,15,15,2023/01/10 00:30,2023/01/10 12:30
106,2,5,1,2023/01/09 13:30,2023/01/10 13:30
107,1,12,10,2023/01/04 21:30,2023/01/05 15:30
108,2,5,12,2023/01/07 13:30,2023/01/07 21:30
109,1,2,8,2023/01/06 15:00,2023/01/07 09:00
110,1,18,12,2023/01/04 16:30,2023/01/04 22:30
111,2,3,8,2023/01/10 04:00,2023/01/10 12:00
112,2,10,18,2023/01/01 12:00,2023/01/01 16:00
113,1,9,4,2023/01/06 00:00,2023/01/07 00:00
114,1,1,14,2023/01/04 22:00,2023/01/05 02:00
115,2,2,3,2023/01/04 23:30,2023/01/05 23:30
116,2,4,16,2023/01/09 12:30,2023/01/09 16:30
117,2,4,4,2023/01/06 19:00,2023/01/07 19:00
118,1,15,13,2023/01/10 18:00,2023/01/10 20:00
119,1,5,19,2023/01/04 05:00,2023/01/04 17:00
120,2,14,5,2023/01/03 14:00,2023/01/03 18:00
121,2,19,2,2023/01/03 03:00,2023/01/03 06:00
122,1,20,9,2023/01/04 01:00,2023/01/05 01:00
123,1,9,11,2023/01/08 23:30,2023/01/09 03:30
124,2,12,3,2023/01/08 22:30,2023/01/09 10:30
125,2,2,11,2023/01/05 14:00,2023/01/06 08:00
126,2,18,11,2023/01/02 16:30,2023/01/03 04:30
127,1,18,11,2023/01/07 12:30,2023/01/08 12:30
128,3,3,17,2023/01/03 11:30,2023/01/04 11:30
129,1,15,1,2023/01/07 03:30,2023/01/07 05:30
130,2,11,2,2023/01/04 23:00,2023/01/05 17:00
131,1,12,16,2023/01/08 12:30,2023/01/08 14:30
132,1,3,12,2023/01/04 08:30,2023/01/04 20:30
133,1,2,8,2023/01/08 05:00,2023/01/08 17:00
134,1,15,17,2023/01/09 22:00,2023/01/10 02:00
135,1,5,15,2023/01/01 17:30,2023/01/01 20:30
136,1,12,9,2023/01/05 19:00,2023/01/06 01:00
137,3,20,2,2023/01/08 07:00,2023/01/08 11:00
138,2,18,5,2023/01/02 00:30,2023/01/02 02:30
139,1,9,15,2023/01/05 17:00,2023/01/06 05:00
140,2,14,6,2023/01/08 21:00,2023/01/09 09:00
141,2,8,18,2023/01/02 22:00,2023/01/03 02:00
142,2,2,14,2023/01/09 14:00,2023/01/09 17:00
143,1,6,4,2023/01/01 04:00,2023/01/02 04:00
144,2,4,11,2023/01/07 03:00,2023/01/07 11:00
145,1,5,16,2023/01/10 03:00,2023/01/10 06:00
146,3,7,6,2023/01/08 11:30,2023/01/09 11:30
147,1,20,14,2023/01/03 00:30,2023/01/03 03:30
148,2,7,20,2023/01/01 13:30,2023/01/01 16:30
149,1,17,9,2023/01/09 15:30,2023/01/10 03:30
150,1,18,2,2023/01/07 19:00,2023/01/08 01:00
151,2,13,11,2023/01/03 20:30,2023/01/04 14:30
152,3,19,3,2023/01/01 09:00,2023/01/01 12:00
153,2,3,15,2023/01/01 15:00,2023/01/01 18:00
154,2,1,5,2023/01/01 16:00,2023/01/02 10:00
155,3,19,3,2023/01/01 16:00,2023/01/01 19:00
156,1,11,19,2023/01/03 20:30,2023/01/04 00:30
157,1,9,5,2023/01/02 01:30,2023/01/02 19:30
158,1,14,2,2023/01/05 11:30,2023/01/06 11:30
159,2,20,18,2023/01/03 00:00,2023/01/03 18:00
160,2,7,19,2023/01/10 16:00,2023/01/11 00:00
161,1,12,17,2023/01/04 16:30,2023/01/05 10:30
162,2,5,5,2023/01/03 06:00,2023/01/04 06:00
163,2,12,3,2023/01/01 07:30,2023/01/02 01:30
