n_S,n_C,n_L,n_K,n_D,B
20,200,3,10000,10,20000
==========
Car ID,Level,Initial station
1,1,13
2,1,5
3,1,16
4,1,3
5,1,20
6,1,17
7,1,13
8,1,17
9,1,2
10,1,1
11,1,15
12,1,15
13,1,18
14,1,3
15,1,19
16,1,19
17,1,9
18,1,8
19,1,3
20,1,19
21,1,1
22,1,12
23,1,4
24,1,16
25,1,19
26,1,7
27,1,6
28,1,13
29,1,11
30,1,10
31,1,5
32,1,14
33,1,13
34,1,19
35,1,3
36,1,7
37,1,4
38,1,2
39,1,16
40,1,16
41,1,2
42,1,13
43,1,5
44,1,3
45,1,4
46,1,1
47,1,8
48,1,13
49,1,15
50,1,1
51,1,12
52,1,2
53,1,1
54,1,7
55,1,19
56,1,20
57,1,5
58,1,7
59,1,13
60,1,16
61,1,2
62,1,14
63,1,17
64,1,7
65,1,17
66,1,3
67,2,2
68,2,18
69,2,9
70,2,4
71,2,2
72,2,16
73,2,8
74,2,5
75,2,13
76,2,11
77,2,12
78,2,4
79,2,16
80,2,11
81,2,10
82,2,12
83,2,10
84,2,14
85,2,9
86,2,19
87,2,1
88,2,16
89,2,5
90,2,5
91,2,16
92,2,14
93,2,6
94,2,14
95,2,7
96,2,13
97,2,8
98,2,10
99,2,10
100,2,16
101,2,4
102,2,12
103,2,18
104,2,12
105,2,13
106,2,2
107,2,13
108,2,9
109,2,4
110,2,16
111,2,3
112,2,10
113,2,13
114,2,19
115,2,7
116,2,15
117,2,2
118,2,7
119,2,6
120,2,9
121,2,18
122,2,15
123,2,8
124,2,20
125,2,6
126,2,16
127,2,5
128,2,17
129,2,2
130,2,9
131,2,3
132,2,12
133,2,6
134,3,17
135,3,12
136,3,13
137,3,1
138,3,4
139,3,18
140,3,17
141,3,20
142,3,6
143,3,1
144,3,17
145,3,13
146,3,19
147,3,11
148,3,16
149,3,1
150,3,6
151,3,6
152,3,3
153,3,13
154,3,6
155,3,13
156,3,10
157,3,12
158,3,13
159,3,3
160,3,6
161,3,4
162,3,11
163,3,16
164,3,9
165,3,18
166,3,10
167,3,5
168,3,19
169,3,2
170,3,12
171,3,14
172,3,1
173,3,15
174,3,2
175,3,6
176,3,20
177,3,2
178,3,6
179,3,12
180,3,4
181,3,1
182,3,13
183,3,10
184,3,9
185,3,8
186,3,2
187,3,11
188,3,3
189,3,3
190,3,5
191,3,6
192,3,11
193,3,13
194,3,19
195,3,17
196,3,17
197,3,17
198,3,18
199,3,9
200,3,11
==========
Car level,Hour rate
1,200
2,300
3,500
==========
Order ID,Level,Pick-up station,Return station,Pick-up time,Return time
1,3,7,15,2023/01/05 16:00,2023/01/05 22:00
2,3,8,20,2023/01/10 02:00,2023/01/10 14:00
3,1,18,10,2023/01/02 19:00,2023/01/02 21:00
4,3,8,16,2023/01/01 20:30,2023/01/02 20:30
5,1,6,17,2023/01/07 18:30,2023/01/08 18:30
6,1,20,4,2023/01/06 16:30,2023/01/07 00:30
7,3,4,9,2023/01/03 03:30,2023/01/03 06:30
8,3,9,10,2023/01/08 11:30,2023/01/08 17:30
9,2,17,4,2023/01/07 04:30,2023/01/07 16:30
10,3,19,1,2023/01/10 13:00,2023/01/10 15:00
11,3,15,2,2023/01/03 22:00,2023/01/04 02:00
12,2,16,12,2023/01/06 18:30,2023/01/07 06:30
13,1,20,10,2023/01/06 09:00,2023/01/06 12:00
14,2,9,6,2023/01/02 04:00,2023/01/02 06:00
15,3,10,18,2023/01/02 10:30,2023/01/02 22:30
16,3,19,2,2023/01/09 17:00,2023/01/10 01:00
17,2,14,5,2023/01/06 20:30,2023/01/07 14:30
18,2,20,16,2023/01/10 01:00,2023/01/10 04:00
19,1,12,17,2023/01/05 20:00,2023/01/06 08:00
20,2,13,3,2023/01/08 11:30,2023/01/08 17:30
21,3,10,11,2023/01/02 09:30,2023/01/02 17:30
22,2,19,19,2023/01/08 07:00,2023/01/08 11:00
23,1,8,4,2023/01/04 04:30,2023/01/04 06:30
24,3,7,7,2023/01/04 17:00,2023/01/05 11:00
25,3,17,10,2023/01/10 09:00,2023/01/10 21:00
26,3,5,2,2023/01/08 08:00,2023/01/09 02:00
27,3,4,6,2023/01/01 10:00,2023/01/02 04:00
28,3,10,8,2023/01/09 10:30,2023/01/10 10:30
29,1,2,5,2023/01/07 13:30,2023/01/07 17:30
30,1,3,18,2023/01/03 13:30,2023/01/03 15:30
31,1,13,7,2023/01/01 10:30,2023/01/01 22:30
32,3,11,19,2023/01/06 08:00,2023/01/06 12:00
33,3,8,1,2023/01/06 02:00,2023/01/07 02:00
34,3,9,20,2023/01/03 18:00,2023/01/04 02:00
35,3,10,5,2023/01/09 08:00,2023/01/10 08:00
36,3,12,19,2023/01/03 14:30,2023/01/04 02:30
37,3,15,2,2023/01/04 09:30,2023/01/05 09:30
38,2,9,14,2023/01/03 19:30,2023/01/04 01:30
39,1,13,1,2023/01/09 13:00,2023/01/09 17:00
40,3,8,15,2023/01/07 10:30,2023/01/07 14:30
41,1,9,4,2023/01/10 20:00,2023/01/11 00:00
42,3,2,5,2023/01/05 11:00,2023/01/05 14:00
43,2,20,17,2023/01/03 15:00,2023/01/04 15:00
44,2,9,10,2023/01/03 07:30,2023/01/03 10:30
45,3,1,8,2023/01/02 06:00,2023/01/02 18:00
46,2,16,7,2023/01/10 01:00,2023/01/10 05:00
47,1,6,20,2023/01/07 04:30,2023/01/07 06:30
48,2,1,16,2023/01/08 11:00,2023/01/08 15:00
49,3,18,19,2023/01/01 09:00,2023/01/01 15:00
50,3,20,10,2023/01/02 12:00,2023/01/02 15:00
51,2,5,11,2023/01/02 13:00,2023/01/02 17:00
52,1,2,2,2023/01/08 02:30,2023/01/09 02:30
53,1,10,4,2023/01/06 06:30,2023/01/06 12:30
54,1,18,7,2023/01/02 09:00,2023/01/02 13:00
55,3,18,4,2023/01/09 20:30,2023/01/10 00:30
56,3,3,5,2023/01/07 22:00,2023/01/08 00:00
57,3,19,10,2023/01/03 13:30,2023/01/04 01:30
58,2,6,6,2023/01/06 15:00,2023/01/07 15:00
59,3,6,4,2023/01/02 19:30,2023/01/02 23:30
60,3,19,1,2023/01/03 12:30,2023/01/04 06:30
61,2,2,6,2023/01/01 18:00,2023/01/02 02:00
62,2,13,12,2023/01/03 06:00,2023/01/03 18:00
63,1,2,1,2023/01/09 15:30,2023/01/10 09:30
64,1,7,9,2023/01/05 13:00,2023/01/06 13:00
65,1,3,14,2023/01/04 13:00,2023/01/04 17:00
66,1,19,10,2023/01/02 06:30,2023/01/02 18:30
67,3,12,11,2023/01/04 17:00,2023/01/05 01:00
68,3,3,15,2023/01/04 22:00,2023/01/05 00:00
69,3,1,8,2023/01/10 14:00,2023/01/10 20:00
70,3,19,1,2023/01/03 12:30,2023/01/04 12:30
71,2,18,7,2023/01/02 05:30,2023/01/02 11:30
72,3,9,7,2023/01/01 13:30,2023/01/02 01:30
73,3,14,5,2023/01/04 20:00,2023/01/05 14:00
74,3,5,20,2023/01/10 00:30,2023/01/10 12:30
75,2,8,6,2023/01/08 03:00,2023/01/08 09:00
76,3,16,16,2023/01/03 00:30,2023/01/03 12:30
77,1,20,6,2023/01/07 22:00,2023/01/08 04:00
78,1,4,18,2023/01/04 12:00,2023/01/05 00:00
79,2,12,2,2023/01/05 05:00,2023/01/05 13:00
80,3,12,20,2023/01/09 04:00,2023/01/09 07:00
81,2,2,4,2023/01/02 11:00,2023/01/02 14:00
82,2,18,2,2023/01/05 00:00,2023/01/05 12:00
83,1,1,4,2023/01/08 21:00,2023/01/09 01:00
84,1,8,20,2023/01/03 23:00,2023/01/04 03:00
85,3,13,11,2023/01/10 07:00,2023/01/10 09:00
86,2,18,6,2023/01/05 01:00,2023/01/05 19:00
87,2,13,20,2023/01/07 17:00,2023/01/08 01:00
88,2,1,20,2023/01/01 04:30,2023/01/01 16:30
89,3,4,15,2023/01/01 23:30,2023/01/02 05:30
90,2,1,2,2023/01/01 19:00,2023/01/01 22:00
91,2,19,4,2023/01/02 20:30,2023/01/03 02:30
92,2,12,19,2023/01/05 18:30,2023/01/06 06:30
93,1,2,13,2023/01/06 06:30,2023/01/07 00:30
94,1,5,4,2023/01/03 05:00,2023/01/04 05:00
95,2,19,20,2023/01/03 09:30,2023/01/04 03:30
96,3,1,4,2023/01/07 18:00,2023/01/07 21:00
97,1,10,9,2023/01/03 17:30,2023/01/04 05:30
98,2,6,19,2023/01/09 09:00,2023/01/10 03:00
99,1,7,9,2023/01/04 04:00,2023/01/04 08:00
100,2,11,9,2023/01/09 02:00,2023/01/09 10:00
101,2,1,14,2023/01/03 08:30,2023/01/03 12:30
102,1,11,7,2023/01/08 08:00,2023/01/08 10:00
103,2,14,18,2023/01/07 10:30,2023/01/08 10:30
104,2,16,2,2023/01/09 00:00,2023/01/09 12:00
105,3,8,6,2023/01/03 04:00,2023/01/03 07:00
106,3,16,2,2023/01/01 21:30,2023/01/02 09:30
107,2,10,18,2023/01/01 07:00,2023/01/01 10:00
108,1,6,6,2023/01/07 14:00,2023/01/07 20:00
109,2,1,4,2023/01/10 00:00,2023/01/10 18:00
110,2,2,10,2023/01/08 07:00,2023/01/09 07:00
111,2,3,17,2023/01/06 04:30,2023/01/07 04:30
112,1,14,3,2023/01/03 09:00,2023/01/04 03:00
113,3,15,1,2023/01/09 03:00,2023/01/09 05:00
114,3,11,13,2023/01/02 13:00,2023/01/03 13:00
115,2,8,14,2023/01/06 09:00,2023/01/06 15:00
116,2,18,18,2023/01/09 12:00,2023/01/09 20:00
117,2,8,5,2023/01/09 08:30,2023/01/09 14:30
118,1,1,8,2023/01/03 08:30,2023/01/03 20:30
119,1,14,13,2023/01/04 20:30,2023/01/05 02:30
120,2,8,11,2023/01/04 04:00,2023/01/04 08:00
121,1,19,6,2023/01/08 06:00,2023/01/09 00:00
122,2,3,6,2023/01/08 19:00,2023/01/09 19:00
123,3,9,7,2023/01/05 17:30,2023/01/06 01:30
124,1,3,13,2023/01/02 11:30,2023/01/02 23:30
125,2,3,15,2023/01/10 13:00,2023/01/10 19:00
126,2,3,15,2023/01/04 06:00,2023/01/05 06:00
127,3,3,14,2023/01/08 10:30,2023/01/08 12:30
