instance,n_K,n_C,n_S,n_D,B,tier_used,rev_total,heur_profit,heur_runtime,heur_feasible,greedy_profit,greedy_runtime,greedy_feasible,ub_profit,ub_runtime,ub_status,opt_profit,opt_runtime,opt_status,n_accepted_h,n_accepted_g,n_upgrades_h,n_upgrades_g,scenario,block,seed
M1_baseline_00.txt,200,20,8,5,4000,2,601600,-4400,0.003236532211303711,True,-251900,0.0030002593994140625,True,442600.0,0.0050013065338134766,ok,,,skipped,77,105,16,33,M1_baseline,B,20920511
M1_baseline_01.txt,200,20,8,5,4000,2,643800,-39300,0.002000093460083008,True,-317100,0.003000497817993164,True,416400.0,0.006064176559448242,ok,,,skipped,90,120,14,26,M1_baseline,B,20920512
M1_baseline_02.txt,200,20,8,5,4000,2,671700,-101400,0.005181789398193359,True,-296700,0.001999378204345703,True,390300.0,0.006154060363769531,ok,,,skipped,79,102,10,26,M1_baseline,B,20920513
M1_baseline_03.txt,200,20,8,5,4000,2,580700,99800,0.002001523971557617,True,-121000,0.0029997825622558594,True,473300.0,0.00400090217590332,ok,,,skipped,93,114,14,28,M1_baseline,B,20920514
M1_baseline_04.txt,200,20,8,5,4000,2,629200,21700,0.0019998550415039062,True,-192200,0.003000974655151367,True,452500.0,0.00500035285949707,ok,,,skipped,86,118,14,37,M1_baseline,B,20920515
M1_baseline_05.txt,200,20,8,5,4000,2,645700,-36800,0.002001523971557617,True,-305900,0.0042002201080322266,True,481900.0,0.0060007572174072266,ok,,,skipped,88,115,17,36,M1_baseline,B,20920516
M1_baseline_06.txt,200,20,8,5,4000,2,646300,64000,0.0010006427764892578,True,-293600,0.005305051803588867,True,494500.0,0.0039997100830078125,ok,,,skipped,88,113,6,29,M1_baseline,B,20920517
M1_baseline_07.txt,200,20,8,5,4000,2,554800,74800,0.0020003318786621094,True,-285500,0.002000093460083008,True,490300.0,0.0030007362365722656,ok,,,skipped,84,106,12,35,M1_baseline,B,20920518
M1_baseline_08.txt,200,20,8,5,4000,2,584600,25400,0.0019996166229248047,True,-289000,0.0019996166229248047,True,476900.0,0.005113124847412109,ok,,,skipped,84,105,13,26,M1_baseline,B,20920519
M1_baseline_09.txt,200,20,8,5,4000,2,625400,54200,0.0009999275207519531,True,-315100,0.002001047134399414,True,526700.0,0.0030002593994140625,ok,,,skipped,86,111,11,25,M1_baseline,B,20920520
M1_baseline_10.txt,200,20,8,5,4000,2,601900,67900,0.002000570297241211,True,-164900,0.0019998550415039062,True,472600.0,0.004120826721191406,ok,,,skipped,93,117,13,37,M1_baseline,B,20920521
M1_baseline_11.txt,200,20,8,5,4000,2,630700,49000,0.003000020980834961,True,-278000,0.0030002593994140625,True,538600.0,0.0029997825622558594,ok,,,skipped,90,109,10,31,M1_baseline,B,20920522
M1_baseline_12.txt,200,20,8,5,4000,2,673200,-73200,0.002000093460083008,True,-270900,0.0035026073455810547,True,439800.0,0.005097150802612305,ok,,,skipped,86,110,11,21,M1_baseline,B,20920523
M1_baseline_13.txt,200,20,8,5,4000,2,778200,-122400,0.0023331642150878906,True,-417000,0.0031502246856689453,True,322200.0,0.007016420364379883,ok,,,skipped,87,110,6,26,M1_baseline,B,20920524
