instance,n_K,n_C,n_S,n_D,B,tier_used,rev_total,heur_profit,heur_runtime,heur_feasible,greedy_profit,greedy_runtime,greedy_feasible,ub_profit,ub_runtime,ub_status,opt_profit,opt_runtime,opt_status,n_accepted_h,n_accepted_g,n_upgrades_h,n_upgrades_g,scenario,block,seed
S1_baseline_00.txt,18,6,4,3,900,1,55000,16900,0.01168060302734375,True,-21200,0.0,True,55000.0,0.0,trivial,16900,0.005627870559692383,optimal,13,13,0,6,S1_baseline,A,20910511
S1_baseline_01.txt,18,6,4,3,900,1,39100,25600,0.011509180068969727,True,21100,0.0,True,39100.0,0.0,trivial,25600,0.0071604251861572266,optimal,15,15,1,1,S1_baseline,A,20910512
S1_baseline_02.txt,18,6,4,3,900,1,66400,15400,0.007439851760864258,True,15400,0.0,True,15400.0,0.021154403686523438,ok,15400,0.012510061264038086,optimal,13,13,1,1,S1_baseline,A,20910513
S1_baseline_03.txt,18,6,4,3,900,1,78400,39400,0.009249210357666016,True,26800,0.0012233257293701172,True,74800.0,0.003074169158935547,ok,39400,0.0051937103271484375,optimal,13,13,2,3,S1_baseline,A,20910514
S1_baseline_04.txt,18,6,4,3,900,1,53200,38500,0.016265392303466797,True,28600,0.0,True,50200.0,0.0021533966064453125,ok,38500,0.012865304946899414,optimal,13,15,5,5,S1_baseline,A,20910515
S1_baseline_05.txt,18,6,4,3,900,1,41600,36200,0.009153127670288086,True,27200,0.0,True,41600.0,0.0,trivial,36200,0.01672959327697754,optimal,16,16,5,3,S1_baseline,A,20910516
S1_baseline_06.txt,18,6,4,3,900,1,79900,1900,0.011565446853637695,True,-11300,0.0,True,13900.0,0.002015352249145508,ok,1900,0.006664752960205078,optimal,13,12,3,2,S1_baseline,A,20910517
S1_baseline_07.txt,18,6,4,3,900,1,81400,2500,0.011416912078857422,True,-59600,0.0,True,34000.0,0.003097057342529297,ok,2500,0.006573677062988281,optimal,11,11,1,5,S1_baseline,A,20910518
S1_baseline_08.txt,18,6,4,3,900,1,67500,18600,0.006949663162231445,True,-4200,0.0009996891021728516,True,57600.0,0.0022125244140625,ok,18600,0.006028890609741211,optimal,12,11,3,2,S1_baseline,A,20910519
S1_baseline_09.txt,18,6,4,3,900,1,32700,30900,0.007699489593505859,True,24300,0.0,True,32700.0,0.0,trivial,30900,0.0071523189544677734,optimal,17,16,3,3,S1_baseline,A,20910520
S1_baseline_10.txt,18,6,4,3,900,1,36500,20300,0.023688793182373047,True,4100,0.0,True,33500.0,0.002999544143676758,ok,20300,0.04122209548950195,optimal,14,12,3,0,S1_baseline,A,20910521
S1_baseline_11.txt,18,6,4,3,900,1,73500,13500,0.008631229400634766,True,-7200,0.0,True,42000.0,0.002011537551879883,ok,13500,0.0074083805084228516,optimal,14,13,2,0,S1_baseline,A,20910522
S1_baseline_12.txt,18,6,4,3,900,1,43600,37000,0.026553630828857422,True,22000,0.0,True,43600.0,0.0,trivial,37000,0.014287233352661133,optimal,15,16,5,6,S1_baseline,A,20910523
